ID_Menu,Nama_Menu,Restoran,Kota
MNU000562,Rawon Surabaya,Restoran Tidak Diketahui,Baqtam
MNU000789,Cappuccino,Caafe Kopi Nusantara,Denpasar
MNU000961,Gado-gado,Depot Makan Enak,Yogyakarta
MNU001000,Roti Bakar,Kedaci Soto,MALANG
MNU000337,Cappuccino,Cafe Kopi Nusantara,semarang
MNU000585,Nasi Goreng Spesial,RM Sederhana,Medan
MNU000528,n/a,Warung Pak Budi,Kota Tidak Diketahui
MNU000050,Pecel Lele,RM Sederhana,Semarang
MNU000812,Nasi Uduk,RM Sederhana,banjarmasin
MNU000696,Nasi Uduk,Warung Pak Budi,bALIKPAPAN
MNU000634,none,Rumah Makang Padang,Manado
MNU000981,Nasi Goreng Spesial,Warung Tegal,Batam
MNU000077,Gado-gdado,Kedai Soto,Jakarta
MNU000986,Cappuccino,Cafe Kopi Nusantara,Yogyakarta
MNU000011,Gado-gado,Kedai Sioto,bATAM
MNU000721,,Rumah Makan Padang,balikpapan
MNU000199,none,Rumah Makan Padang,Jakarta
MNU000335,Gado-gado,Depot Makan Enak,BANDUNG
MNU000209,Nasi Goreng Spesial,Cafe Kopi Nusantara,Makassar
MNU000848,Mie Ayam Bakso,Kedai Soto,sEMARANG
MNU000219,Opor Ayam,Rumah Makan Padang,Batam
MNU000248,Martabak Telor,Kedai Soto,bandung
MNU000524,Rawon Surabaya,Resto Premium,Pekanbaru
MNU000468,,Restoran Tidak Diketahui,Semarang
MNU000097,Martabak Telor,Cafe Kopi Nusantara,bANJARMASIN
MNU000084,Sate Ayam,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000459,Sate Ayam,Kedai Soto,Surabaya
MNU000399,Opor Ayam,RM Sederhana,makassar
MNU000817,Mie Ayam Bakso,Resto Premium,depok
MNU000714,Kopi Susu Gula Aen,Depot Makan Enak,Palembang
MNU000293,Nasi Padang,Cafe Kopi Nusantara,Bandung
MNU000140,Ayam Bakar,Rumah Makan Padang,jakarta
MNU000759,Nasi Uduk,Warung Tegal,Batam
MNU000775,Soto Ayam Lamongan,Cafe Kopi Nusantara,PEKANBARU
MNU000716,Tidak Ada,Warung Tegal,Denpasar
MNU000472,Roti Bakar,Warung Pak Budi,Bekasi
MNU000433,Kopi Susu Gula Aren,Depot Makan Enak,MANADO
MNU000079,Martabak Telor,Cafe Kopi Nusantara,Denpasar
MNU000539,Martabak Telor,RM Sederhana,Banjarmasin
MNU000210,Rawon Surabaya,Warung Tegal,MaEDAN
MNU000925,Nasi Padang,Warung Tegal,Bogor
MNU000463,Mie Ayam Bakso,Cafe Kopi Nusantara,Pontianak
MNU000797,Nasi Goreng Spesial,RM Sederhana,makassar
MNU000040,Pecel Lele,Resto Premium,dEPASAR
MNU000031,Roti Bakaar,RM Sederhana,yOGYAKARTA
MNU000908,Rawon Surabaya,Rumah Makan Padang,Batam
MNU000137,Mie Ayam Bakso,Rumah Makan Padang,Bandung
MNU000055,Bakso Urat,Cafe Kopi Nusantara,Yogyakarta
MNU000842,Ketoprak,Cafe Kopi Nusantara,bATAM
MNU000274,Rawon Surabaya,Warung Tegal,Tangerang
MNU000923,Kopi Susu Gula Aren,Depot Makan Enak,yOGYAKARTA
MNU000569,Kopi Susu Gula Aren,Resto Premium,pALEMBANG
MNU000004,Roti Bakar,Resto Premium,balikpapan
MNU000308,Ayam Bakar,Cafe Kopi NUsantara,Jakarta
MNU000299,Bakso Urat,RM Setderhana,yOGYAKARTA
MNU000872,Es Teh Manis,Rumah Makan Padang,Banjarmasin
MNU000656,Pecel Lele,Rumah Makan Padang,Banjarmasin
MNU000935,Jus Alpukat,Cafe Kopi Nusantara,Pekanbaru
MNU000757,Cappuccino,Kedai Soto,YOGYAKARTA
MNU000508,Kopi Susu Gula Aren,Depot Makan Enak,yogyakarta
MNU000059,Pecel Lele,Resto Premium,medan
MNU000064,Nasi adang,RM Sederhana,Jaikarta
MNU000436,Jus Alpukat,Rumah Makan Padang,Malang
MNU000353,n/a,Kedai Soto,mANADO
MNU000101,Cappuccino,Depot Makan Enak,Semarang
MNU000169,Rendang Daging,Warung Pak Budi,Kota Tidak Diketahui
MNU000588,Roti Bakar,Warung Pak Budi,Bogor
MNU000333,Jsu Alpukat,Depot Makan Enak,Bogor
MNU000895,Martabak Telor,Resto Premium,Yogyakarta
MNU000567,Rawno Surabaya,Warung Tegal,batam
MNU000530,Martabak Telor,RM Sederhana,Medan
MNU000244,Sate Ayam,Depot Makan Enak,tangerang
MNU000245,Ketoprak,Depot Makan Enak,Makassar
MNU000443,Rendang Daging,Kedai Soto,JAKARTA
MNU000421,Gado-gado,Kedai Soto,suraBaya
MNU000514, ,Warung Pak Budi,BOGOR
MNU000211,Rendang Daging,Rest Premium,sURABAYA
MNU000067,Rendang Daging,Cafe Kopi Nusantara,jAKARmTA
MNU000295,n/a, ,tanegrang
MNU000068,Opor Ayam,Cafe Kopi Nusanntara,Yogyakarta
MNU000778,Rawonn Surabaya,Depot Makan Enak,Jakarta
MNU000013,Nasi Uduk,Cafe Kopi Nusantara,Surabaya
MNU000332,Jus Alpukat,Restoran Tidak Diketahui,Kota Tidak Diketahui
MNU000523,Mie Ayam Bakso,Warung Pak Budi,uSrabaya
MNU000431,Es Teh Manis,Kedai Soto,bATAM
MNU000555,Ayam Bakar,Warung Pak Buudi,DENPASAR
MNU000909,Kopi Susu Gula Aren,Rumah Makan Padang,Balikpapan
MNU000717,Soto Ayam Lamongan,Caf eKopi Nusantara,Semarang
MNU000320,Nasi Goreng Spesial,Kedai Soto,medan
MNU000216,Tidak Ada,Warung Pak Budi,yOGYAKARTA
MNU000446,Nasi Goreng Spesial,Warung Tegal,Depok
MNU000300,Nasi Goreng Spesial,Warung Tegal,Tangerang
MNU000939,Rendang Daging,Warung Pak Budi,Surabaya
MNU000497,Opor Ayam,Rumah Makan Padang,Manado
MNU000849,Ketoprak,Rumah Makan Padang,Banjarmasin
MNU000870,Roti Bakar,Depot Makan Enak,pALEMBANG
MNU000232,Ketoprak,Rumah Makan Padang,bEKASI
MNU000401,Nasi Goreng Spesial,RM Sederhana,MALANG
MNU000347,Jus Alpukat,Warung Pak Budi,YOGYAKARTA
MNU000003,Nasi Goreng Spesial,Kedai Soto,mAKASSAR
MNU000495,Opor Ayam,Rumah Makan Padang,Banjarmasin
MNU000733,Es Teh Manis,Rumah Makan Padang,pontianak
MNU000802,aNsi Uduk,Warung Pak Budi,Kota Tidak Diketahui
MNU000880,Ayam Bakar,RM SederhAna,tangerang
MNU000614,Soto Ayam Lamongan,RM Sederhana,Palelmbang
MNU000319,Roti Bakar,Kedai Soto,maNado
MNU000517,Pecel Lele,RM Sederhana,bATAM
MNU000844,Roti Bakar,Depot Makan Enak,pEKANBARU
MNU000917,Meartabak Telor,Cafe Kopi Nusantara,Pontianak
MNU000754,Roti Bakar,Depot Makan Enak,Balikpapan
MNU000410,Tidak Ada,Kedai Soto,Surabaya
MNU000276,Opor Ayam, ,DEPOK
MNU000629,SAte Ayam,RM Sederhana,BANDUNG
MNU000645,Ayam Bakar,Resto Premium,pekanbaru
MNU000885,Ketoprak,Resto Premium,manado
MNU000592,Rendang Daging,Warung Tegal,bandung
MNU000343,Pecel Lele,Resto Premium,Bekasi
MNU000854,none,Depot Makan Enk,mALANG
MNU000313,Rendang Daging,Cafe Kopi Nusantara,Palembang
MNU000309,Mie Ayam Bakso,Depot Makan Enak,Pontianak
MNU000737,Ayyam Bakar,Restoran Tidak Diketahui,Bekasi
MNU000238,Pecel Lele,Rumah Makan Padang,jAKARTA
MNU000324,Nasi Padang,Resto Premium,pOTIANAK
MNU000307,Mie Ayam Bakso,Rumah Makan Padang,bEASI
MNU000969,Mie Ayam Bakso,RM Sederhana,pALEMBANG
MNU000351,Nasi Goreng Spesial,RM Sederhana,Jiakarta
MNU000107,Gado-gado,Cafe Kopi Nusantara,bLIKPAPAN
MNU000606,Es Teh Manis,Resto Premium,Pekanbaru
MNU000056, ,Cafe Kopi Nusantara,depok
MNU000214,Opor Ayam,Cafe Kopi Nusantara,bOGOR
MNU000121,Ketoprak,Resto Premium,Bogor
MNU000558,Roti Bakar,Depot Makan Enak,Jakarta
MNU000026,Ayam Bakar,Cafe Kopi Nusantara,Denpasar
MNU000073,Kopi Susu Gula Aren,Restoran Tidak Diketahui,SURABAYA
MNU000991,Tidak Ada,Warung Tegal,BALIKPAPAN
MNU000045,none,Warung Pak Budi,makassar
MNU000603,Opor Ayam,Depot Makan Enak,palembang
MNU000498,Es Teh Manis,Cafe Kopi Nusantara,Surabaya
MNU000741,Ayam Bakar,Depot Makan Enak,Bandung
MNU000281,Rendang Daging,Warung Pak Budi,MALANG
MNU000227,Kopi Susu Gula Aren,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000391,Es TeH Manis,Warung Pak Budi,Makassar
MNU000414,,Resto Premium,Medan
MNU000412,Nasi Pdaang,WArung Pak Budi,SEMARANG
MNU000287,Soto Ayam Lamongan,Rumah Makan Padang,Kota Tidak Diketahui
MNU000329,n/a,Cafe Kopi Nusantara,DENPAASAR
MNU000740,Martabak Telor,RM Sederhana,TANGERANG
MNU000425,Cappuccino,Depot Makan Enak,SURABAYA
MNU000738,Soto Ayam Lamongan,Warung Pak Budi,PEKANBARU
MNU000261,Gado-gado,Resto Premium,Palembang
MNU000491,Nasi Padang,Cafe Kopi Nusantara,pontianak
MNU000662,Nasi Goreng Spesial,RM Sederhana,BOGOR
MNU000362,Nasi Uduk,Warung Pak Budi,Yogyakarta
MNU000360,Roti Bakar,Cafe Kopi Nusantara,Tangerang
MNU000941,Mie Ayam Bakso,Cafe Kopi Nusantara,Banduung
MNU000061,Opor Ayam,Warung Tegal,BANDUNG
MNU000429,Rawn Surabaya,Rumah Makan Padang,Jakarta
MNU000093,Soto Ayam Lamongan,RM Sederhana,Pekanbaru
MNU000683,Rawon Surabaya,RM Sederhana,Palembang
MNU000266,Jus Alpukat,Warung Pak Budi,Pontianak
MNU000746,Kopi Susu Gula Aren,Cafe Kopi Nussantara,Malang
MNU000960,Gado-gado,Restoran Tidak Diketahui,Bandung
MNU000395,Rendang Daging,Resto Premium,Bandung
MNU000322,Cappuccino,Rumah Makan Padang,Makassar
MNU000183,Es Tfeh Manis,Depot Makan Enak,Depok
MNU000520,Roti Bakar,Restoran Tidak Diketahui,MANADO
MNU000297,Nasi Uduk,Resto Premium,BATAM
MNU000111,Roti Bakar,Resto Premium,balikpapan
MNU000912,Nasi Padang,RM Sederana,Tangerang
MNU000911,Mie Ayam Bakso,Warung Tegal,balikpapan
MNU000507,Pecel Lele,Depot Makan Enak,makassAr
MNU000886,Martabka Telor,Resto Premium,ManAdo
MNU000818,N/A,Resto Premium,Palembang
MNU000586,Nasi Padang,Restoran Tidak Diketahui,Manado
MNU000262,Nasi Goreng Spesial,Rumah Makan Padang,Palembang
MNU000689,KopiS usu Gula Aren,Warung Tegal,PEKANBARU
MNU000526,Gado-gado,Warung Pak Budi,Pnotianak
MNU000542,Nasi Padang,Warung Pak Budi,MALANG
MNU000833,Roti Bakar,Warung Pak Budi,Kota Tidak Diketahui
MNU000138,Nasi Uduk,Depot Makan Enak,YOGYAKARTA
MNU000910,Sate Ayam,Warung Tegal,Palembang
MNU000659,Ayam Bakar,Resto Premium,Pekanbaru
MNU000856,Nasi Goreng Spesial,Rumah Makan Padang,deopk
MNU000328,Cappuuccino,Depot Makan Enak,Bekasi
MNU000637,Nasi Padang,Depot Makan Enak,Kota Tidak Diketahui
MNU000615,Soto Ayam Lamongan,Warung Pak Budi,Balikpapan
MNU000030,Kopi Susu Gul aAren,Warung Tegal,Bandung
MNU000166,Kopi Susu Gula Aren,Resto Premium,Yogyakarta
MNU000249,Cappuccino,Resto Preamium,Surabaya
MNU000479,Nasi Goreng Spesial,Cafe Kopi Nusantara,Banjarmasin
MNU000345,Bakso Urat,Waruung Tegal,JakArta
MNU000829,Nasi Padang,Depot Makan Enak,MANADO
MNU000729,Ketoprak,RM Sederhana,Banjarmasin
MNU000573,Es Teh Manis,Warung Tegal,Medan
MNU000381,Sate Ayam,Depot Makan Elnak,bandung
MNU000954,Ketoprak,Rumah Makan Padang,Banjarmasin
MNU000559,Es Teh Manis,Rumah Makan Padang,SurabaYa
MNU000066,Nasi Goreng Spesial,Restoran Tidak Diketahui,Malang
MNU000983,Tidak Ada,Warung Tegal,Pekanbaru
MNU000944,Pecel Lele,Kedai Soto,Medan
MNU000368,Cappuccino,Warung Pak Budi,balikpappan
MNU000255,Martabak Telor,Cafe Kopi Nusantara,Yogyakarta
MNU000763,,Warung Teagl,BATAM
MNU000363,Soto Ayam Lamongan,Warung Pak Budi,Palembang
MNU000222,Ayam Bakar,Kedai Soto,Jakarta
MNU000236,Sate Ayam,Cafe Kopi Nusantara,jakarta
MNU000406,Rendang Daging,Depot Makan Enak,PALEMBANG
MNU000914,Gado-gado,Warung Pak Budi,surabaoya
MNU000306,Ayam Bakar,Warung Pak Bui,Makassar
MNU000758,Sate Aaym,RM Sederhana,mAKASSAR
MNU000791,Cappuccino,RM Sederhana,mANADO
MNU000753,Mie Ayam Bakso,RM Sederhana,Malang
MNU000250,Pecel Lele,Depot Makan Enak,MANADO
MNU000884,Cappuccino,Resto Premium,Pekanbaru
MNU000458,Roti Bakar,Warung Tegal,bTAAM
MNU000072,Sate Ayam,RM Sederhana,Pontinak
MNU000095,Nasi Goreng Spesial,Warung Pak Budi,Bandung
MNU000034,Martabak Telor,Warung Tegal,Jakarta
MNU000742,Cappuccino,Depot Makan Enak,Balikpapan
MNU000260,Soto Ayam Lamongan,Warung Tegal,SEMARANG
MNU000205,Ketoprak,Warung Pak Budi,TANGERANG
MNU000428,Soto Ayam Lamongan, ,yOGYAKARTA
MNU000814,Martabak Telor,Resto Premium,Tangerang
MNU000772,Soto Ayam Lamongan,Cafe Kopi Nusantara,Batam
MNU000078,Cappuccino,RM Sederhana,medan
MNU000085,Es Teh Manis,Warung Tegal,DENPASAR
MNU000616,Martabak Telor,Kedai Soto,tangerang
MNU000083,Rawon Surabaya,Cafe Kopi Nusantara,Kota Tidak Diketahui
MNU000483,Ketoprak,Rumah Makan Padang,Manado
MNU000725,Tidak Ada,Warung Tegal,Kota Tidak Diketahui
MNU000595,Kopi Susu Gula Aren,Warung Tegal,palembang
MNU000810,Martabak Telor,Kedai Soto,malang
MNU000835,Martabak Telor,Cafe Kopi Nusantara,bekasi
MNU000006,Opor Ayam,Rumah Makan Padang,Kota Tidak Diketahui
MNU000311,Nasi Padang,RM Sederhana,Makassar
MNU000824,Gado-gado,Resto Premium,Malang
MNU000105,Sate Ayam,Keadi Soto,Palembang
MNU000098,Ketoprak,RM Sederhana,Banjarmasin
MNU000355,Sate Ayam,WaRung Tegal,Kota Tidak Diketahui
MNU000621,Roti Bakar,RM Sederhana,Bandung
MNU000315,Soto Ayam Lamongan,Warung Tegal,bALIKPAPAN
MNU000602,n/a,Depot MMakan Enak,pekanbaru
MNU000989,Tidak Ada,Resto Premium,Makassar
MNU000282,Tidak Ada,Warung Tegal,malang
MNU000600,,Cafe Kopi Nusantara, 
MNU000267,Sate Ayam,Depot Makan Enak,Tangerang
MNU000537,Gado-gado,Cafe Kopi Nusantara,MANADO
MNU000926,Soto Ayam Lamobngan,Rumah Makan Padang,sEMARANG
MNU000666,Kopi Susu Gula Aren,Cafe Kopi Nusantara,Surabaya
MNU000505,N/A,Cafe Kopi Nusantara,pEKANBARU
MNU000997,Gado-gado,RM Sederhana,Bandung
MNU000598,Es Teh Maanis,Resto Premium,Manado
MNU000119,Kopi Susu Gula Aren,Cafe Kopi Nusantara,bALIKPAPAN
MNU000929,Opor Ayam,Warung Tegal,Batam
MNU000251,Cappuccino,Rumah Makan Padang,Bogor
MNU000605,BaksoUrat,Wanrung Pak Budi,Jakarta
MNU000286,Roti Bakar,Resto Premium,MALANG
MNU000437,Bakso Urat,Rumah Makan Padmang,Kota Tidak Diketahui
MNU000010,Mie Ayam Bakso,Cafe Kopi Nusantara,Batam
MNU000426,Martabak Telor,Kedai Soto,Semaraang
MNU000197,Cappuccino,Cafe Kopi Nusantara,bEKASI
MNU000695,Pecel Lele,Warunjg Pak Budi,bATAM
MNU000371,Ketoprak,Kedai Sooto,Denpasar
MNU000082,Kopi Susu Gula Aren,Resto Premium,Kota Tidak Diketahui
MNU000584,Soto Ayam Laamongan,Resto Premium,Pekanbaru
MNU000938,Es Teh Manis,Warung Pak Budi,semarang
MNU000240,Kopi Susu Gula Aren,Resto Premium,depok
MNU000847,Nasi Uduk,Warung Tegal, 
MNU000212,Ketoprak,Cafe Kopi Nusantara,TANGERANG
MNU000821,NasiUduk,Cafe Kopi Nusantara,Jakrata
MNU000476,Martabak Telor,RM Sederhana,bekasi
MNU000552,Gado-gado,Cafe Kopi Nusantara,Tangerang
MNU000228,Nasi Goreng Spesial,WarungT egal,denpasar
MNU000977,Cappuccino,Warung Pak Budi,yogyakarta
MNU000596,Bakso Urat,Cafe Kopi Nusantara,Bogor
MNU000452,Nasi Padang,Depot Makan Enak,Tangerang
MNU000178,Pecel Lele,Warung Tegal,Kota Tidak Diketahui
MNU000466,Mie Ayam Bakso,Restoran Tidak Diketahui,dENPASAR
MNU000515,Pecel Lele,Warung Pak Budi,balikpapan
MNU000480,Opor Ayam,Rumah Makan Padang,semaraNg
MNU000632,Rendang Dagng,Rumah Makan Padang,surabaya
MNU000865,Bakso Urat,Warung Tegal,PONTIANAK
MNU000500,Opor Ayam,Warung Tegal,Bandung
MNU000487,Jus Alpukat,Kedai Soto,Pontianak
MNU000008,Nasi Padang,Cafe Kopi Nusantara,Bogor
MNU000928,Bakso Urat,Warung Pak Budi,pontianak
MNU000156,Ketoprak,Resto Premium,Yogyakarta
MNU000358,Nasi Uduk,Warung Pak Budi,Bandung
MNU000619,Roti Bakar,Depot Makan Enak,bATAM
MNU000224,Mie Ayam Bakso,Warung Tegal,Balikpapan
MNU000330,Tidak Ada,Warung Tegal,Kota Tidak Diketahui
MNU000665,Cappuccino,RM Sederhana,bandung
MNU000519,Nasi Goreng Spesial,Resto Premium,depok
MNU000889,Jus Alpukat,Rumah Makan Padang,PALEMBANG
MNU000651,Mie Ayam Bakso,RM Sederhana,Yogyakarta
MNU000862,Martabak Telor,Warung Tegal,bogor
MNU000650,Soto Ayam Lamongan,Warung Pak Budi,Bandung
MNU000685,Opor Ayam,Keda Soto,Kota Tidak Diketahui
MNU000453,Nasi Padang,Warung Tegal,Malang
MNU000786,Martabak Telor,Rumah Makan Padang,dENPASAR
MNU000504,Nasi Goreng Spesial,RM Sederhana,PEKANBARU
MNU000647,Jus Alpukat,Resto Premium,Pekanbaru
MNU000669,Ayam Bakar,Restoran Tidak Diketahui,bATAM
MNU000809,Ketoprak,Warung Tegal,balikpapan
MNU000794,Ayam Bakar,Resto Premium,Yogyakarta
MNU000164,Roti Bakar,Warung Pak Budi,pONTIANAK
MNU000229,Rendang Daging,Rumah Makan Padang,Tangerang
MNU000594,Nasi Padang,Depot Makan Enak,Yogyakarta
MNU000834,KetoPrak,Warung Pak Budi,Bandung
MNU000213,Roti Bakar,Warung Pak Budi,Makassar
MNU000875,Es Teh Manis,Cafe Kopi Nusantara,pekanbaru
MNU000080,Nasi Padang,Kedai Soto,Depok
MNU000149,Opfor Ayam,Rumah Makan Padang,Palembang
MNU000303,Opor Ayam,Warung Pak Bdi,Pekanbaru
MNU000448,Mie Ayam Bakso,Resto Premium,PEKANBARU
MNU000430,Opor Ayam,Warung Teggal,Manado
MNU000583,Jus Alpkuat,Depot Makan Enak,PalemBang
MNU000531,Roti Bakar,Warung Tegal,Banjarmasin
MNU000044,Nasi Padang,Restoran Tidak Diketahui,PEKANBARU
MNU000450,Nasi Padang,RM Sederhana,Baatam
MNU000134,Ketoprak,Warung Tegal,Surabaya
MNU000630,Ayam Bakar,Deopt Makan Enak,depok
MNU000482,Martabak Telor,Depot Makan Enak,Batam
MNU000576,Pecel Lele,Warung Tegal,mEDAN
MNU000312,Opor AyAm,Kedai Soto,YOGYAKARTA
MNU000409,Soto Ayam Lamongan,Warung Pak Budi,Malang
MNU000546,Bakso Urat,Kedai Soto,DEPOK
MNU000698,Nasi Goreng Spesial,Depot Makan Enak,Pekanbaru
MNU000550,Roti Bakar,Kedai Soto,Bekasi
MNU000931,Nasi Uduk,Cafe Kopi NusaNtara,Surabaya
MNU000860,Roti Bakar,Depot Makan Enak,jakarta
MNU000001,Roti Bakar,Restoran Tidak Diketahui,Bokgor
MNU000423,Kopi Susu Gula Aren,Depot Makan Enak,Balikpapan
MNU000361,Nasi Goreng Spesial,Resto Premium,depok
MNU000383, ,Cafe Kopi Nusantara,blaikpapan
MNU000317,Bakso Urat,Restoran Tidak Diketahui,DENNPASAR
MNU000808,Roti Bakar,Kedai Soto,bOGOR
MNU000627,Cappcucino,Rumah Makan Padang,sURABAYA
MNU000553,Nasi Goreng Spesial, ,balikpapan
MNU000667,Raon Surabaya,RM Sederhana,balikpapan
MNU000722,Mie Ayam Bakso,Cafe Kopi Nusantara,mALANG
MNU000623,Nasi Uduk,Rumah Makan Padang,jAKARTA
MNU000173,,Depot Makan Enak,SurAbaya
MNU000451,Mie Ayam Bakso,Rumah Makan Padang,pEKANBARU
MNU000126,Es Teh Manis,Cafe Kopi Nusantara,bekasi
MNU000919,Pecel Lele,Resto Premium,sEMARANG
MNU000674,Gado-gado,Rumah Makan Padang,batam
MNU000091,Gado-gado,Rumah Makan Padang,yOGYAKARTA
